sample,Moisture W.B,Standard deviation,Coefficient of variation (%)
M 01,51.90975534659168,0.9497322296909531,1.8295833285088121
M 02,50.778576297849604,0.10289631987924545,0.20263726827568213
M 03,52.48885320364815,1.3088892883948184,2.4936519060847884
M 04,49.1382585806532,2.019373675757707,4.109575174389224
M 05,47.21164380629824,0.2671267729565451,0.5658069734926475
M 06,39.4492603288161,0.26686976080254976,0.67648863014958
M 07,32.88312164147603,0.9969710486839833,3.0318625450282286
M 08,17.243034238536012,0.5630503563783338,3.2653786368989928
M 09,12.475560161336846,0.4673548777094796,3.7461634721450388
M 10,51.663649910599105,0.34375433143147843,0.6653698142239757
M 11,39.31149173887084,0.5758993233119334,1.4649643090050675
M 12,13.021902906808606,0.20783750603900078,1.5960609407579844
M 13,9.2,0.25,2.717391304347826
M 14,8.5,0.31,3.6470588235294117
M 15,10.8,0.28,2.5925925925925926
M 16,34.763973446981,0.40349070962481937,1.1606576280475778
M 17,35.7420402641714,0.3260222723967985,0.9121535032335865
M 18,51.64445844389493,0.6573624626873222,1.2728615663604297
M 19,11.3,0.31,2.743362831858407
M 20,8.5,0.22,2.588235294117647
