algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_000.joblib,1.9152350177791335,8.093277083614018,6.2693431175536345,1.3840056656255628,6.471573190132567,4.984223348478877,0.011108829629493975,2.568087329729502,2.7227317270682314,9.245801869932285,2.036810885750325,2.607971163305675,0.9883020210709456,0.7589547458793066,0.8529739025044212,relu,0.0001,"(50,)",0.001,5000,0.0001
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_001.joblib,2.507946542312033,8.991106415645609,7.776574051625991,1.912491503049542,6.885604466943353,5.753769671310894,-0.10050627495799626,2.7062031652208405,2.9052701248816706,7.060710110837334,1.8334200601400628,2.10250245865403,0.9799412790046634,0.7025074855913993,0.7737820953848644,relu,0.0001,"(50,)",0.001,5000,0.001
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_002.joblib,1.9152350177791335,8.093277083614018,6.2693431175536345,1.3840056656255628,6.471573190132567,4.984223348478877,0.011108829629493975,2.568087329729502,2.7227317270682314,9.245801869932285,2.036810885750325,2.607971163305675,0.9883020210709456,0.7589547458793066,0.8529739025044212,relu,0.0001,"(50,)",0.001,10000,0.0001
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_003.joblib,2.507946542312033,8.991106415645609,7.776574051625991,1.912491503049542,6.885604466943353,5.753769671310894,-0.10050627495799626,2.7062031652208405,2.9052701248816706,7.060710110837334,1.8334200601400628,2.10250245865403,0.9799412790046634,0.7025074855913993,0.7737820953848644,relu,0.0001,"(50,)",0.001,10000,0.001
mlp,4,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_004.joblib,2.878521484047151,7.369200649278707,6.314914272259568,2.297791386875449,6.372059869908055,5.230725369702916,0.004894628417603148,0.6607694511650841,2.5880205261361224,6.151728797884505,2.2369420578760013,2.589150914569489,0.9735755694024012,0.8001562686169015,0.8508287015715366,relu,0.0001,"(50,)",0.01,5000,0.0001
mlp,5,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_005.joblib,2.878521484047151,7.369200649278707,6.314914272259568,2.297791386875449,6.372059869908055,5.230725369702916,0.004894628417603148,0.6607694511650841,2.5880205261361224,6.151728797884505,2.2369420578760013,2.589150914569489,0.9735755694024012,0.8001562686169015,0.8508287015715366,relu,0.0001,"(50,)",0.01,5000,0.001
mlp,6,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_006.joblib,2.878521484047151,7.369200649278707,6.314914272259568,2.297791386875449,6.372059869908055,5.230725369702916,0.004894628417603148,0.6607694511650841,2.5880205261361224,6.151728797884505,2.2369420578760013,2.589150914569489,0.9735755694024012,0.8001562686169015,0.8508287015715366,relu,0.0001,"(50,)",0.01,10000,0.0001
mlp,7,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_007.joblib,2.878521484047151,7.369200649278707,6.314914272259568,2.297791386875449,6.372059869908055,5.230725369702916,0.004894628417603148,0.6607694511650841,2.5880205261361224,6.151728797884505,2.2369420578760013,2.589150914569489,0.9735755694024012,0.8001562686169015,0.8508287015715366,relu,0.0001,"(50,)",0.01,10000,0.001
mlp,8,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_008.joblib,0.5676733542094401,6.209179265489984,4.5147666979331165,0.3364609022176462,4.420020098040611,3.326454006253615,-0.09521668238128705,2.6455932984935617,1.5871168649144842,31.193790191901225,2.654855683893327,3.6215085202373833,0.9989723062710646,0.8581209853046996,0.9237533130797388,relu,0.0001,"(100,)",0.001,5000,0.0001
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_009.joblib,2.358709007581867,8.310790185799988,6.865636349307902,1.6737194676287837,6.5404772468634835,4.941975498398428,-0.39357105975503115,2.744964957411397,3.1928362728467263,7.507447273835661,1.9835027111458594,2.3814640379397582,0.982257475300152,0.7458240806017606,0.8236757908541671,relu,0.0001,"(100,)",0.001,5000,0.001
