algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_000.joblib,3.616543342868425,5.318736750237287,5.928365422541244,2.870194963837188,4.423046758975807,4.789694132021439,0.48625776378001295,-0.7358895750732762,1.186516026529021,4.898309053675054,3.21525355001319,2.6460070522558077,0.9583219267138077,0.9032681381011648,0.8571704705918066,relu,0.0001,"(50,)",0.001,5000,0.0001
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_001.joblib,3.616543342868425,5.318736750237287,5.928365422541244,2.870194963837188,4.423046758975807,4.789694132021439,0.48625776378001295,-0.7358895750732762,1.186516026529021,4.898309053675054,3.21525355001319,2.6460070522558077,0.9583219267138077,0.9032681381011648,0.8571704705918066,relu,0.0001,"(50,)",0.001,5000,0.001
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_002.joblib,3.616543342868425,5.318736750237287,5.928365422541244,2.870194963837188,4.423046758975807,4.789694132021439,0.48625776378001295,-0.7358895750732762,1.186516026529021,4.898309053675054,3.21525355001319,2.6460070522558077,0.9583219267138077,0.9032681381011648,0.8571704705918066,relu,0.0001,"(50,)",0.001,10000,0.0001
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_003.joblib,3.616543342868425,5.318736750237287,5.928365422541244,2.870194963837188,4.423046758975807,4.789694132021439,0.48625776378001295,-0.7358895750732762,1.186516026529021,4.898309053675054,3.21525355001319,2.6460070522558077,0.9583219267138077,0.9032681381011648,0.8571704705918066,relu,0.0001,"(50,)",0.001,10000,0.001
mlp,4,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_004.joblib,8.580295807030078,9.467371394048813,10.316794332052108,7.111145654795186,8.543780403432416,9.674160193974663,-3.9732407979359627,-4.0367510364759225,1.737492220460417,2.0646079573231373,1.8063184072968543,1.5204816740078815,0.7654017293861706,0.6935134752278572,0.5674487017214458,relu,0.0001,"(50,)",0.01,5000,0.0001
mlp,5,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_005.joblib,8.580295807030078,9.467371394048813,10.316794332052108,7.111145654795186,8.543780403432416,9.674160193974663,-3.9732407979359627,-4.0367510364759225,1.737492220460417,2.0646079573231373,1.8063184072968543,1.5204816740078815,0.7654017293861706,0.6935134752278572,0.5674487017214458,relu,0.0001,"(50,)",0.01,5000,0.001
mlp,6,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_006.joblib,8.580295807030078,9.467371394048813,10.316794332052108,7.111145654795186,8.543780403432416,9.674160193974663,-3.9732407979359627,-4.0367510364759225,1.737492220460417,2.0646079573231373,1.8063184072968543,1.5204816740078815,0.7654017293861706,0.6935134752278572,0.5674487017214458,relu,0.0001,"(50,)",0.01,10000,0.0001
mlp,7,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_007.joblib,8.580295807030078,9.467371394048813,10.316794332052108,7.111145654795186,8.543780403432416,9.674160193974663,-3.9732407979359627,-4.0367510364759225,1.737492220460417,2.0646079573231373,1.8063184072968543,1.5204816740078815,0.7654017293861706,0.6935134752278572,0.5674487017214458,relu,0.0001,"(50,)",0.01,10000,0.001
mlp,8,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_008.joblib,2.035426387931631,2.753540356141358,3.7429402228679796,0.6482811618089281,2.0222326894259486,3.1807781124213195,-0.2974172189280865,-1.266103752804561,0.013057289397824181,8.703310080096932,6.210581653413812,4.190955714589007,0.9867982627018574,0.9740740041042322,0.9430657168912556,relu,0.0001,"(100,)",0.001,5000,0.0001
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_009.joblib,2.190237049202958,2.7227119384870537,3.9893416310432266,0.9949198390515167,1.9222888039886061,3.306568718083231,-0.3031534793633356,-1.4519070135391823,0.04256761891201651,8.088141420960458,6.280902131456742,3.932101626576298,0.984713694758967,0.9746512850702942,0.9353229009417129,relu,0.0001,"(100,)",0.001,5000,0.001
mlp,10,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_010.joblib,2.035426387931631,2.753540356141358,3.7429402228679796,0.6482811618089281,2.0222326894259486,3.1807781124213195,-0.2974172189280865,-1.266103752804561,0.013057289397824181,8.703310080096932,6.210581653413812,4.190955714589007,0.9867982627018574,0.9740740041042322,0.9430657168912556,relu,0.0001,"(100,)",0.001,10000,0.0001
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_011.joblib,2.190237049202958,2.7227119384870537,3.9893416310432266,0.9949198390515167,1.9222888039886061,3.306568718083231,-0.3031534793633356,-1.4519070135391823,0.04256761891201651,8.088141420960458,6.280902131456742,3.932101626576298,0.984713694758967,0.9746512850702942,0.9353229009417129,relu,0.0001,"(100,)",0.001,10000,0.001
mlp,12,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_012.joblib,4.154354079711156,4.064105764360724,6.0343189541355375,3.3343026142417793,3.617298807056017,5.323583011213516,1.1948859257628062,0.03027104984459404,-0.12729661329478148,4.26418804451361,4.207835181788391,2.599547162756965,0.945004481163757,0.9435215773450658,0.8520194634074573,relu,0.0001,"(100,)",0.01,5000,0.0001
mlp,13,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_013.joblib,4.154354079711156,4.064105764360724,6.0343189541355375,3.3343026142417793,3.617298807056017,5.323583011213516,1.1948859257628062,0.03027104984459404,-0.12729661329478148,4.26418804451361,4.207835181788391,2.599547162756965,0.945004481163757,0.9435215773450658,0.8520194634074573,relu,0.0001,"(100,)",0.01,5000,0.001
mlp,14,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_014.joblib,4.154354079711156,4.064105764360724,6.0343189541355375,3.3343026142417793,3.617298807056017,5.323583011213516,1.1948859257628062,0.03027104984459404,-0.12729661329478148,4.26418804451361,4.207835181788391,2.599547162756965,0.945004481163757,0.9435215773450658,0.8520194634074573,relu,0.0001,"(100,)",0.01,10000,0.0001
