algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,70,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_070.joblib,-67.22397183875078,20.902327346196202,1.221115677269407,4.892032070024063,0.9479517161512508,3.0571004594626494,-0.2875196965302255,-1.8671041664497114,14.62103777948665,3.2610597140307864,0.9953221789763076,0.9059665224925226,tanh,0.0001,"(50, 50)",0.01,10000,0.0001,1
mlp,68,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_068.joblib,-67.22397183875078,20.902327346196202,1.221115677269407,4.892032070024063,0.9479517161512508,3.0571004594626494,-0.2875196965302255,-1.8671041664497114,14.62103777948665,3.2610597140307864,0.9953221789763076,0.9059665224925226,tanh,0.0001,"(50, 50)",0.01,5000,0.0001,2
mlp,92,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_092.joblib,-83.3907545450882,28.387917707232397,1.203032400204281,4.9380181493973,0.9323582331174578,3.0731630624273474,-0.31185607830848344,-1.9159074227586144,14.840812639333516,3.230690576795317,0.9954596991046022,0.9041903463694176,tanh,0.001,"(50, 50)",0.01,5000,0.0001,3
mlp,94,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_094.joblib,-83.3907545450882,28.387917707232397,1.203032400204281,4.9380181493973,0.9323582331174578,3.0731630624273474,-0.31185607830848344,-1.9159074227586144,14.840812639333516,3.230690576795317,0.9954596991046022,0.9041903463694176,tanh,0.001,"(50, 50)",0.01,10000,0.0001,4
mlp,71,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_071.joblib,-67.22397183875078,20.902327346196202,5.528502583436798,6.461977988742256,4.183920048060211,5.163599220237132,-0.10324417612551537,0.4230727128425465,3.229442001884801,2.468781034397674,0.9041162477142329,0.8359278552648679,tanh,0.0001,"(50, 50)",0.01,10000,0.001,5
mlp,69,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_069.joblib,-67.22397183875078,20.902327346196202,5.528502583436798,6.461977988742256,4.183920048060211,5.163599220237132,-0.10324417612551537,0.4230727128425465,3.229442001884801,2.468781034397674,0.9041162477142329,0.8359278552648679,tanh,0.0001,"(50, 50)",0.01,5000,0.001,6
mlp,93,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_093.joblib,-83.3907545450882,28.387917707232397,5.528265745963076,6.463237565670715,4.18383944852704,5.164527991868567,-0.10358265541210485,0.42241990285487585,3.229580355017665,2.4682999102550522,0.904124462734088,0.8358638867308276,tanh,0.001,"(50, 50)",0.01,5000,0.001,7
mlp,95,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_095.joblib,-83.3907545450882,28.387917707232397,5.528265745963076,6.463237565670715,4.18383944852704,5.164527991868567,-0.10358265541210485,0.42241990285487585,3.229580355017665,2.4682999102550522,0.904124462734088,0.8358638867308276,tanh,0.001,"(50, 50)",0.01,10000,0.001,8
mlp,40,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_040.joblib,-68.89773009636741,28.396591633603112,2.4975706688704955,6.920720237624737,1.3725057263097862,4.227849086403201,0.44849933696637956,-2.042056234423261,7.1485378464000515,2.30513706024005,0.9804311385494593,0.811805687660039,relu,0.001,"(50, 50)",0.001,5000,0.0001,9
mlp,41,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_041.joblib,-68.89773009636741,28.396591633603112,2.4975706688704955,6.920720237624737,1.3725057263097862,4.227849086403201,0.44849933696637956,-2.042056234423261,7.1485378464000515,2.30513706024005,0.9804311385494593,0.811805687660039,relu,0.001,"(50, 50)",0.001,5000,0.001,10
